accident_uid,accident_type,accident_type_de,accident_type_fr,accident_type_it,accident_type_en,accident_severity_category,accident_severity_category_de,accident_severity_category_fr,accident_severity_category_it,accident_severity_category_en,accident_involving_pedestrian,accident_involving_bicycle,accident_involving_motorcycle,road_type,road_type_de,road_type_fr,road_type_it,road_type_en,canton_code,municipality_code,accident_year,accident_month,accident_month_de,accident_month_fr,accident_month_it,accident_month_en,accident_week_day,accident_week_day_de,accident_week_day_fr,accident_week_day_it,accident_week_day_en,accident_hour,accident_hour_text,gemeinde_f,gemeinde_d,lon,lat
2091138CEB9E01D4E0630AB38B026756,at5,Überqueren der Fahrbahn,accident en traversant une route,Incidente nell'attraversare la carreggiata,Accident when crossing the lane(s),as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,FALSE,TRUE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,NE,6487,2024,8,August,août,Agosto,August,aw406,Samstag,samedi,Sabato,Saturday,11,11h-12h,Val-de-Ruz,Val-de-Ruz,6.8673307142563695,47.03305751250523
2091138CF22201D4E0630AB38B026756,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,TRUE,TRUE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,GE,6621,2024,6,Juni,juin,Giugno,June,aw404,Donnerstag,jeudi,Giovedì,Thursday,08,08h-09h,Genève,Genf,6.137462874083557,46.19938510108861
20B961539C1101E8E0630AB38B023F09,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as1,Unfall mit Getöteten,accident avec tués,Incidente con persone decedute,Accident with fatalities,FALSE,FALSE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,TI,5287,2024,6,Juni,juin,Giugno,June,aw402,Dienstag,mardi,Martedì,Tuesday,15,15h-16h,Riviera,Riviera,8.965393140222865,46.33570883148588
2110FEA42E7601FCE0630AB38B0267F6,at6,Frontalkollision,collision frontale,Collisione frontale,Accident with head-on collision,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,FALSE,TRUE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,SG,3402,2024,8,August,août,Agosto,August,aw406,Samstag,samedi,Sabato,Saturday,17,17h-18h,Flawil,Flawil,9.18682961540685,47.4169980581622
211DBCE67CCE01D6E0630AB38B02E62C,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,FALSE,FALSE,rt439,andere,autre,Altro,Other,GE,6612,2024,6,Juni,juin,Giugno,June,aw405,Freitag,vendredi,Venerdì,Friday,04,04h-05h,Chêne-Bougeries,Chêne-Bougeries,6.185457326648787,46.20035130563046
21229AB8EAC101B8E0630AB38B029AFA,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,FALSE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,FR,2233,2024,9,September,septembre,Settembre,September,aw401,Montag,lundi,Lunedí,Monday,12,12h-13h,Hauterive (FR),Hauterive FR,7.100898538010406,46.76625740273755
21487F3DC19A0102E0630AB38B028606,at8,Fussgängerunfall,accident impliquant des piétons,Incidente con pedoni,Accident involving pedestrian(s),as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,TRUE,FALSE,TRUE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,LU,1151,2024,7,Juli,juillet,Luglio,July,aw406,Samstag,samedi,Sabato,Saturday,04,04h-05h,Willisau,Willisau,7.926474859456987,47.104972089675385
214EE6B26A2F01E2E0630AB38B029E84,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,TRUE,FALSE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,NE,6487,2024,8,August,août,Agosto,August,aw406,Samstag,samedi,Sabato,Saturday,10,10h-11h,Val-de-Ruz,Val-de-Ruz,6.909292561939188,47.05775321165867
215E7FD08159018AE0630AB38B02DA4E,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,FALSE,FALSE,rt432,Hauptstrasse,route principale,Strada principale,Principal road,GR,3901,2024,7,Juli,juillet,Luglio,July,aw405,Freitag,vendredi,Venerdì,Friday,21,21h-22h,Coire,Chur,9.527759812042282,46.84772944158393
215E7FD081E4018AE0630AB38B02DA4E,at0,Schleuder- oder Selbstunfall,dérapage ou perte de maîtrise,Incidente di sbandamento o per colpa propria,Accident with skidding or self-accident,as2,Unfall mit Schwerverletzten,accident avec blessés graves,Incidente con feriti gravi,Accident with severe injuries,FALSE,FALSE,TRUE,rt433,Nebenstrasse,route secondaire,Strada secondaria,Minor road,TI,5237,2024,7,Juli,juillet,Luglio,July,aw406,Samstag,samedi,Sabato,Saturday,22,22h-23h,Alto Malcantone,Alto Malcantone,8.912220875502847,46.04144068180926
