"lon","lat","gemeinde_f","accident_severity_category_fr"
6.129,46.1998,"Genève","a"
6.129,46.1998,"Genève","a"
6.129,46.1998,"Genève","a"
6.129,46.1998,"Genève","a"
6.129,46.1998,"Genève","a"
7.8944,47.5533,"Zeiningen","a"
7.8944,47.5533,"Zeiningen","a"
7.8944,47.5533,"Zeiningen","a"
7.8944,47.5533,"Zeiningen","a"
7.8944,47.5533,"Zeiningen","a"
7.8944,47.5533,"Zeiningen","a"
7.8944,47.5533,"Zeiningen","a"
7.8944,47.5533,"Zeiningen","a"
7.8944,47.5533,"Zeiningen","a"
7.8944,47.5533,"Zeiningen","a"
7.8944,47.5533,"Zeiningen","a"
7.8944,47.5533,"Zeiningen","a"
7.8944,47.5533,"Zeiningen","a"
7.8944,47.5533,"Zeiningen","a"
7.8944,47.5533,"Zeiningen","a"
8.5291,47.5097,"Bülach","a"
8.5291,47.5097,"Bülach","a"
8.5291,47.5097,"Bülach","a"
8.5291,47.5097,"Bülach","a"
8.5291,47.5097,"Bülach","a"
8.5291,47.5097,"Bülach","a"
8.5291,47.5097,"Bülach","a"
8.5291,47.5097,"Bülach","a"
8.5291,47.5097,"Bülach","a"
8.5291,47.5097,"Bülach","a"
8.5291,47.5097,"Bülach","a"
8.5291,47.5097,"Bülach","a"
8.5291,47.5097,"Bülach","a"
8.5291,47.5097,"Bülach","a"
8.5291,47.5097,"Bülach","a"
8.9815,46.9149,"Glarus Süd","a"
8.9815,46.9149,"Glarus Süd","a"
8.9815,46.9149,"Glarus Süd","a"
8.9815,46.9149,"Glarus Süd","a"
8.9815,46.9149,"Glarus Süd","a"
8.9815,46.9149,"Glarus Süd","a"
8.9815,46.9149,"Glarus Süd","a"
8.9815,46.9149,"Glarus Süd","a"
8.9815,46.9149,"Glarus Süd","a"
8.9815,46.9149,"Glarus Süd","a"
8.9815,46.9149,"Glarus Süd","a"
8.9815,46.9149,"Glarus Süd","a"
8.9815,46.9149,"Glarus Süd","a"
8.9815,46.9149,"Glarus Süd","a"
8.9815,46.9149,"Glarus Süd","a"
7.598,47.572,"Bâle","a"
7.598,47.572,"Bâle","a"
7.598,47.572,"Bâle","a"
7.598,47.572,"Bâle","a"
7.598,47.572,"Bâle","a"
7.598,47.572,"Bâle","a"
7.598,47.572,"Bâle","a"
7.598,47.572,"Bâle","a"
7.598,47.572,"Bâle","a"
7.598,47.572,"Bâle","a"
7.598,47.572,"Bâle","a"
7.598,47.572,"Bâle","a"
7.598,47.572,"Bâle","a"
7.598,47.572,"Bâle","a"
7.598,47.572,"Bâle","a"
6.2854,46.2399,"Jussy","a"
6.2854,46.2399,"Jussy","a"
6.2854,46.2399,"Jussy","a"
6.2854,46.2399,"Jussy","a"
6.2854,46.2399,"Jussy","a"
6.2854,46.2399,"Jussy","a"
6.2854,46.2399,"Jussy","a"
6.2854,46.2399,"Jussy","a"
6.2854,46.2399,"Jussy","a"
6.2854,46.2399,"Jussy","a"
6.2854,46.2399,"Jussy","a"
6.2854,46.2399,"Jussy","a"
6.2854,46.2399,"Jussy","a"
6.2854,46.2399,"Jussy","a"
6.2854,46.2399,"Jussy","a"
7.9309,46.6929,"Bönigen","a"
7.9309,46.6929,"Bönigen","a"
7.9309,46.6929,"Bönigen","a"
7.9309,46.6929,"Bönigen","a"
7.9309,46.6929,"Bönigen","a"
7.9309,46.6929,"Bönigen","a"
7.9309,46.6929,"Bönigen","a"
7.9309,46.6929,"Bönigen","a"
7.9309,46.6929,"Bönigen","a"
7.9309,46.6929,"Bönigen","a"
7.9309,46.6929,"Bönigen","a"
7.9309,46.6929,"Bönigen","a"
7.9309,46.6929,"Bönigen","a"
7.9309,46.6929,"Bönigen","a"
7.9309,46.6929,"Bönigen","a"
6.6511,46.5296,"Lausanne","a"
6.6511,46.5296,"Lausanne","a"
6.6511,46.5296,"Lausanne","a"
6.6511,46.5296,"Lausanne","a"
6.6511,46.5296,"Lausanne","a"
6.6511,46.5296,"Lausanne","a"
6.6511,46.5296,"Lausanne","a"
6.6511,46.5296,"Lausanne","a"
6.6511,46.5296,"Lausanne","a"
6.6511,46.5296,"Lausanne","a"
6.6511,46.5296,"Lausanne","a"
6.6511,46.5296,"Lausanne","a"
6.6511,46.5296,"Lausanne","a"
6.6511,46.5296,"Lausanne","a"
6.6511,46.5296,"Lausanne","a"
6.9096,46.4353,"Montreux","a"
6.9096,46.4353,"Montreux","a"
6.9096,46.4353,"Montreux","a"
6.9096,46.4353,"Montreux","a"
6.9096,46.4353,"Montreux","a"
6.9096,46.4353,"Montreux","a"
6.9096,46.4353,"Montreux","a"
6.9096,46.4353,"Montreux","a"
6.9096,46.4353,"Montreux","a"
6.9096,46.4353,"Montreux","a"
6.9096,46.4353,"Montreux","a"
6.9096,46.4353,"Montreux","a"
6.9096,46.4353,"Montreux","a"
6.9096,46.4353,"Montreux","a"
6.9096,46.4353,"Montreux","a"
7.2714,46.9601,"Mühleberg","a"
7.2714,46.9601,"Mühleberg","a"
7.2714,46.9601,"Mühleberg","a"
7.2714,46.9601,"Mühleberg","a"
7.2714,46.9601,"Mühleberg","a"
7.2714,46.9601,"Mühleberg","a"
7.2714,46.9601,"Mühleberg","a"
7.2714,46.9601,"Mühleberg","a"
7.2714,46.9601,"Mühleberg","a"
7.2714,46.9601,"Mühleberg","a"
7.2714,46.9601,"Mühleberg","a"
7.2714,46.9601,"Mühleberg","a"
7.2714,46.9601,"Mühleberg","a"
7.2714,46.9601,"Mühleberg","a"
7.2714,46.9601,"Mühleberg","a"
7.0235,46.4094,"Ormont-Dessous","a"
7.0235,46.4094,"Ormont-Dessous","a"
7.0235,46.4094,"Ormont-Dessous","a"
7.0235,46.4094,"Ormont-Dessous","a"
7.0235,46.4094,"Ormont-Dessous","a"
7.0235,46.4094,"Ormont-Dessous","a"
7.0235,46.4094,"Ormont-Dessous","a"
7.0235,46.4094,"Ormont-Dessous","a"
7.0235,46.4094,"Ormont-Dessous","a"
7.0235,46.4094,"Ormont-Dessous","a"
7.0235,46.4094,"Ormont-Dessous","a"
7.0235,46.4094,"Ormont-Dessous","a"
7.0235,46.4094,"Ormont-Dessous","a"
